id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,created,discount_price_amount,price_detail_amount,published_time_year,published_time_month,category
915106,"Home Business Ideas For 2016 , Create Online Home Business",True,5563,3.15,33,8,0,2016-07,455.0,3200.0,2016,7,[]
1975038,Practice Exams | AWS Certified Developer Associate 2020,True,30173,4.52459,3297,0,5,2018-10,455.0,6400.0,2018,11,[]
3359670,Build An MP3 Player With Python And TKinter GUI Apps,True,18099,4.46014,139,42,0,2020-07,455.0,8640.0,2020,7,"['python', 'tkinter']"
1982774,Bridging the Generational Divide: Millennials and Boomers,True,13,4.16667,3,19,0,2018-10,455.0,2240.0,2018,10,[]
2817003,Android + Firebase Cloud Messaging - Complete Course,True,129,3.8,19,15,0,2020-02,455.0,6400.0,2020,3,['firebase']
2810091,Basic to Advanced Conditional Formatting of KPIs in Power BI,True,39,3.7,5,36,0,2020-02,455.0,2240.0,2020,4,['basic']
1465450,Statistical Data Analysis with SAS,True,2166,4.40625,224,45,0,2017-12,455.0,4480.0,2018,4,['sas']
1859114,HTML and CSS Masterclass,True,664,3.95,83,181,0,2018-08,455.0,5120.0,2018,8,"['html', 'css']"
2978324,Programming Arduino: Getting Started with Sketches,True,121,4.63889,22,31,0,2020-04,455.0,1280.0,2020,6,[]
2675756,Responsive Google Blogger Template Customizing for Beginners,True,4062,4.1,37,10,0,2019-11,455.0,1280.0,2019,12,[]
1956240,Ethereum as a Cryptocurrency,True,6072,4.0,13,60,0,2018-10,455.0,7680.0,2018,10,"['ethereum', 'cryptocurrency']"
2369502,Local Lead Generation 101: Create Monthly Passive Income B2B,True,7804,4.7107800000000015,509,32,0,2019-05,455.0,8640.0,2019,5,[]
635436,Financial Bootcamp for Engaged Couples - Personal Finances,True,765,2.0,2,19,0,2015-10,455.0,1280.0,2015,10,[]
1009192,Wholesaling Real Estate 101,True,18,4.0,5,12,0,2016-11,455.0,1280.0,2020,2,[]
2580362,Human Resource Management (HRM) - How to manage better?,True,6303,3.96774,99,27,0,2019-09,455.0,1280.0,2019,10,[]
2356352,Implementing Windows Server 2019 High Availability,True,127,3.65,17,60,0,2019-05,455.0,8000.0,2019,5,[]
1320552,Life Coach Certification: Life Purpose & Happiness Coaching,True,3628,3.75,72,40,0,2017-08,455.0,8640.0,2017,9,[]
80940,Build Websites from Scratch with HTML & CSS,True,63253,4.56925,5856,77,0,2013-08,455.0,8640.0,2013,9,"['html', 'css']"
1322248,تحرر الآن من أكثر الأخطاء التي تمنعك من دخول عالم الاستثمار,True,8,3.5,1,112,0,2017-08,455.0,8640.0,2017,8,[]
593956,Import & Export Logistics with the global Incoterms® Rules,True,1904,3.55,99,26,0,2015-08,0.0,1280.0,2017,6,[]
628356,Learn Web Animation the Easy Way: An Intro to SVG and GSAP,True,1776,4.33871,377,15,0,2015-10,800.0,3200.0,2015,10,"['animation', 'svg']"
3398918,QuickBooks Pro Desktop for beginners in Hindi/Urdu,True,10,5.0,1,97,0,2020-08,455.0,1280.0,2020,8,[]
2531912,How to Focus on Work As A Freelancer : Top Tips,True,3348,3.5,9,26,0,2019-08,455.0,8640.0,2019,8,[]
1864918,Autonomous Cars: How Do They Work and Impact Us?,True,2292,4.32653,229,33,0,2018-08,468.0,6400.0,2018,9,[]
1332976,Edison for Beginners,True,2985,4.25,25,33,0,2017-08,455.0,6400.0,2017,9,[]
3109474,Programación en C de Cero a Experto con Estructuras de Datos,True,435,4.5,80,221,0,2020-05,455.0,3200.0,2020,5,['c']
1130968,Cyberhacker Series:  Wireless Hacking Ninja,True,1119,2.8,10,9,0,2017-03,455.0,8640.0,2017,7,[]
2601614,Adobe Photoshop CC 2020 - Become a Super User - 10 Projects!,True,99212,4.1773,725,395,0,2019-10,455.0,8640.0,2019,10,['photoshop']
2748350,Oracle Exadata X5 Administration | 1Z0-070,True,15,3.16667,3,0,2,2020-01,455.0,1280.0,2020,1,[]
1961772,Text Classification with fastText and machine learning,True,926,4.0,21,22,0,2018-10,455.0,1280.0,2018,10,[]
3005342,Professional Scrum Product Owner™ 1 - Real practice tests,True,56,4.16667,6,0,3,2020-04,455.0,1280.0,2020,4,[]
2969308,Collect Data. Extract Data from PDF. PDF to Excel,True,27,4.33333,3,10,0,2020-04,0.0,2880.0,2020,4,['excel']
